"","1-0","3-0","4-0","5-0","6-0","7-0","8-0","11-0","12-0","13-0","14-0","16-0","17-0","18-0","20-0","1082","1053","1308","1570","1021","2446","1016","1651","1630","2371","1508","2701","1363","2734","2438","2739","2744","2524","2595","2404","2614","2227","2548","2678","2299","3692","2340","2310","2444","2655","2276","2505","2225","2465","2724","2727","2720","2346","2054","2667"
"12,13-diHOME",2.536250778,3.328521674,1.644398852,1.189440018,2.278403005,1.698454208,2.970578604,2.755277606,1.699250037,3.411949836,1.902430046,2.162664561,2.501261397,1.189752135,0.690330526,0.574986548,0.722405834,2.984390132,0.473501427,0.641291852,2.414221291,1.194678765,2.321071879,2.006890733,0.460387438,1.406161353,0.576612185,1.086025738,0.565618326,0.705766701,0.265402012,0.657443891,0.456578278,0.869831601,0.874821266,0.674703015,1.044362884,0.713579147,0.769577851,0.853546764,0.731017626,0.817516605,0.873460706,0.776494726,1.130328661,0.768572416,1.524027497,1.398561028,1.365345519,0.639461283,0.651851438,0.804520124,1.059388999,2.109423546,0.552546074
"15-deoxy-delta12,14-PGJ2",0.184949952,0.13137738,0.098275905,0.134162696,0,0.162766031,0.024892047,0.055874495,0.029104172,0.132662936,0.09546636,0.105556716,0.26541633,0.027425466,0.15672056,0.014369098,0.092388828,0.020019295,0.051776026,0.095469929,0.072191515,0.081895844,0.077559095,0.101238296,0.115908367,0.045879092,0.042088068,0.049135069,0.085063156,0.049050594,0.102721838,0.04308564,0.089434643,0,0.046208461,0.040913294,0.080902382,0.029018892,0.032129042,0.066075705,0.013701312,0.151870231,0.294573975,0.137895343,0.098144396,0.13332888,0.121978269,0.050629129,0.024219103,0.214276356,0.090593638,0.083317671,0.056226111,0.025869789,0.066568127
"15-oxoETE",63.8595825,40.70750567,62.50844848,76.36332519,40.90199358,52.06945017,21.21448111,61.75368305,35.32278983,38.93416282,145.9831541,32.65133102,46.39458964,20.65613604,35.32228472,6.733565934,20.47818569,4.882351032,5.052922551,16.94245353,8.810128176,11.07333787,43.6787547,28.08938871,10.98353313,22.84651322,22.60274996,12.72171219,20.90532587,11.1208587,13.40435496,16.99342793,4.031209422,10.40346644,9.452093421,37.03391552,11.97451048,3.493121272,24.80258361,5.764132246,0.682083498,9.58603919,22.69161385,5.028391421,13.36167628,14.55045273,107.2542577,16.84932329,25.99378475,69.2858492,35.38809232,9.345638513,12.00891963,8.870048286,14.23549749
"18-HEPE",7.489989741,4.896254896,4.31596733,2.619332519,2.731905371,3.575592444,2.323565231,11.42842178,1.870675385,2.66488047,17.82870656,2.011599211,2.027861158,1.772559742,1.35867204,0.456066662,2.391159565,0.351963292,0.210015617,0.555981222,0.920935913,2.36394884,3.099796038,1.745491557,0.710684842,7.141371643,0.857791645,1.095806163,0.684227345,0.589525781,0.67170615,1.040671728,0.589075828,0.576873274,0.226077627,0.989140939,0.991047465,0.312857793,1.971105947,0.64028525,0.380770627,0.842351818,0.801812754,0.266208528,0.602026674,1.623500776,2.316621301,1.327333146,1.167353543,3.109576508,1.801580281,0.54319672,1.164005895,2.305729849,0.521585683
"15-HEPE",3.775838199,3.680041691,2.73457126,1.856843378,2.095022109,2.284676668,1.551810792,8.194328696,1.349296714,2.013335402,11.28336816,1.514557707,1.449347474,0.747026232,0.831002493,0.370292981,1.606878296,0.18185611,0.109356243,0.456693249,0.577080421,1.506247458,2.371170496,1.087045063,0.457949699,4.705386668,0.669460454,0.643497448,0.490217773,0.321122775,0.423731976,0.712057266,0.22370925,0.412745304,0.124216394,0.42593555,0.732647626,0.216503103,1.324088267,0.36292801,0.250771062,0.585936749,0.569874697,0.051496861,0.500201805,1.10930408,1.772290597,0.993962461,1.01407955,2.742824991,1.266676232,0.361382097,0.664003547,1.693072442,0.465972114
"12-HEPE",5.387152072,4.966293605,3.872117561,2.34110851,2.86525833,3.287155899,1.725018527,9.722951691,1.478192556,3.11558954,12.27264023,1.486022769,2.574470282,1.238426299,1.007169163,0.441905001,2.253296449,0.387509954,0.235853025,0.633586361,0.853166083,2.099747234,3.165715666,1.497728141,0.50874001,7.886221864,1.046608127,0.930929933,0.618066829,0.750602203,0.557564682,1.084484873,0.407329149,0.584516813,0.320425661,0.85209007,1.145481123,0.325328157,2.344179787,0.502650563,0.485263416,0.867531834,0.773460763,0.311940081,0.853476736,1.578252581,2.458606148,1.67246703,1.188183692,4.372688524,1.610498028,0.504439064,1.004143233,2.972389537,0.559317196
"5-HEPE",39.21884231,34.39116292,54.89220748,34.99626086,29.54167663,41.61003773,42.00029674,92.34178227,17.23921987,18.91862874,123.7804145,22.06915669,13.83120444,30.63198455,33.81567863,2.848158232,14.03280528,3.10668705,1.170375245,2.663953358,7.008188954,25.10716768,16.28616093,8.317199967,13.02933444,70.9825342,6.954001609,8.023716841,4.305910569,11.89913425,3.605905255,6.668856762,7.516786639,4.139586074,4.783221134,6.890448451,11.81601003,6.825262104,11.18839578,4.77400776,1.836422122,9.554299349,5.619518943,3.98529815,4.547024542,14.67265229,6.211614575,8.05837493,11.9748803,13.5720595,14.02494727,5.141572616,11.19464369,11.81538614,8.437188942
"11-HEPE",14.4636486,13.44369135,10.12411407,7.545277796,8.745339759,9.295017182,4.264337172,32.08293992,5.110294129,7.987346977,34.2210028,5.253384181,6.328491901,3.803640635,3.391703792,1.152568369,6.248692291,1.251126785,0.586531041,1.652874868,2.407032044,5.299080237,8.963668531,4.984338266,1.463538473,19.06425603,2.605541378,2.258155036,2.133552536,1.352767405,1.753390624,2.757240677,1.096348746,1.956646673,0.658487742,2.25738084,3.138829073,0.691417482,5.986425592,1.192394315,0.95806091,2.093512569,2.091757634,0.57945437,2.223465046,4.736206198,7.747189003,3.897492518,3.379869492,12.25631089,4.595543067,1.42054327,3.007245918,7.672063484,1.865827638
"8-HEPE",7.669299314,6.002218789,4.758230112,3.453111308,3.991428201,4.247571878,2.303862452,15.11434104,2.216493572,3.757458838,16.05120714,2.209802569,3.082319563,1.465317148,1.385837214,0.381888648,2.126003544,0.445950395,0.122451238,0.62385057,1.022456401,2.173347107,2.99373762,1.758657362,0.76708032,9.563268373,1.019863286,0.842168499,0.729271968,0.644909965,0.793351876,1.013476339,0.483309411,0.570846919,0.270878468,0.840948711,1.295199173,0.325507432,2.54679667,0.386961106,0.523194509,0.915900267,0.768853883,0.295159131,0.756647511,1.926627055,2.616047673,1.753436273,1.546727341,4.317821477,1.868315497,0.441845092,1.191270821,3.104047094,0.591537891
"9-HEPE",10.88778054,8.125942526,9.030363736,6.064363212,6.491029407,7.812839483,4.055359217,19.8916237,3.549530796,5.794552323,28.87314938,4.034032634,4.153546004,3.39963852,3.061050744,0.866620271,4.098514069,0.762374854,0.379895767,0.866080606,1.422868157,4.640216311,5.660606809,2.932211363,1.344833715,14.13197857,1.825292884,2.037727943,1.22718716,1.226767322,1.368086645,1.70172895,0.988030306,1.186078009,0.615779965,1.920232413,1.735294712,0.407055819,4.093776575,0.717440699,0.502401489,1.600906404,1.213880501,0.649408005,1.222363052,3.339642815,3.955469516,2.67218891,2.224661815,6.649093779,3.254301121,1.055850646,1.546065878,4.64704182,1.033438803
